"variable","importance","sum","mean_importance","relative_importance"
"rat7",0.112857844774396,52.0274664409966,0.112857844774396,100
"elevation",0.10767984999919,49.3173712996291,0.106979113448219,94.7910299563769
"site",0.0960257492613823,43.691715913929,0.094775956429347,83.9781732663821
"chamber",0.0873217817685629,39.1201582323162,0.0848593454063257,75.1913573894312
"habitat",0.0696545072158526,24.5183865399801,0.0531852202602606,47.1258514342342
"nest_height",0.0774980305856739,22.9394170533595,0.0497601237599989,44.0909746765675
"vegetation_cover",0.0712663147097418,21.6649596717615,0.0469955741252961,41.641388969673
"nest_width",0.0733242512850714,20.4574661085349,0.0443762822310953,39.3205118525911
"rat10",0.0634174767870646,18.5179032218229,0.0401689874659932,35.5925523354547
"curved_entrance",0.0661263789648747,13.9526659615886,0.0302660866845739,26.8178846982911
"rat9",0.0569818236482203,10.598619198569,0.0229904971769392,20.3711999133932
"proximate_village",0.055327599740185,8.96307115790997,0.0194426706245336,17.2275756846142
"orientation",0.050898357317815,8.65272074402854,0.0187694593145955,16.6310630440585
"substrate",0.0429622644320848,4.55400002980099,0.00987852501041429,8.75306898706204
"year",0.0362973698516229,3.66603435501391,0.00795235218007356,7.04634418278179
"rat8",0.0279145784632904,1.53530181548097,0.00333037270169408,2.95094479993971
"rat6",0.0253912449628286,0.812519838810514,0.00176251591932866,1.56171325338699
"ageDay1",0.0232205392079892,0.626954558615707,0.00135998819656336,1.20504533759437
"rat5",0.0213633936340056,0.256360723608067,0.000556097014334202,0.492741125303114
